collection_id,sensor,satellite,processing_level,wrs2_path,wrs2_row,acquisition_date,collection_number,collection_category,B04_path,B05_path,B10_path,B11_path
LC08_L1TP_033032_20230602_20230607_02_T1,C,8,L1TP,033,032,2023-06-02,20,30,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230602_20230607_02_T1/LC08_L1TP_033032_20230602_20230607_02_T1_B4.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230602_20230607_02_T1/LC08_L1TP_033032_20230602_20230607_02_T1_B5.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230602_20230607_02_T1/LC08_L1TP_033032_20230602_20230607_02_T1_B10.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230602_20230607_02_T1/LC08_L1TP_033032_20230602_20230607_02_T1_B11.TIF
LC08_L1TP_033032_20230517_20230524_02_T1,C,8,L1TP,033,032,2023-05-17,20,30,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230517_20230524_02_T1/LC08_L1TP_033032_20230517_20230524_02_T1_B4.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230517_20230524_02_T1/LC08_L1TP_033032_20230517_20230524_02_T1_B5.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230517_20230524_02_T1/LC08_L1TP_033032_20230517_20230524_02_T1_B10.TIF,/Volumes/data/imagery/Landsat/collections/LC08_L1TP_033032_20230517_20230524_02_T1/LC08_L1TP_033032_20230517_20230524_02_T1_B11.TIF
